               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11268,            0.081803,            0.039522,             0.51765,            0.035038,            0.011001,           0.0027894,             0.10819,            0.068038,            0.028187,            0.070254,           0.0033051,           0.0033051
                   1,             0.10004,            0.092199,            0.019777,              0.8276,            0.074171,             0.04975,            0.018179,             0.10049,             0.07126,             0.01375,             0.04021,           0.0065946,           0.0065946
                   2,             0.09558,            0.091685,            0.010138,             0.39284,             0.15042,            0.098594,            0.042324,            0.093917,            0.074346,           0.0044798,            0.010123,           0.0098401,           0.0098401
                   3,            0.089684,            0.093498,           0.0061048,             0.25252,             0.17991,             0.11381,            0.048963,            0.087259,            0.075186,           0.0022938,            0.009802,            0.009802,            0.009802
                   4,            0.086256,            0.092686,           0.0042541,             0.41788,             0.19802,             0.16221,            0.079127,            0.082097,            0.078212,           0.0017336,            0.009802,            0.009802,            0.009802
                   5,            0.081251,             0.09184,           0.0036462,             0.34462,             0.24578,              0.2028,            0.091556,            0.079346,            0.074539,           0.0014408,            0.009736,            0.009736,            0.009736
                   6,            0.079851,            0.093507,            0.003372,             0.40442,             0.24559,             0.22382,             0.11216,            0.078601,            0.073635,           0.0024084,             0.00967,             0.00967,             0.00967
                   7,            0.076375,            0.094356,           0.0025033,             0.38878,             0.29592,             0.25515,             0.12021,            0.074867,            0.075667,           0.0011996,            0.009604,            0.009604,            0.009604
                   8,            0.075641,            0.092743,           0.0022045,             0.45721,             0.31527,             0.27272,             0.13392,            0.073203,            0.073649,           0.0010336,            0.009538,            0.009538,            0.009538
                   9,            0.072196,             0.09222,           0.0020833,             0.47833,              0.2766,             0.26901,             0.13069,            0.073224,            0.074817,           0.0010752,            0.009472,            0.009472,            0.009472
                  10,            0.072871,            0.094509,            0.001872,             0.44405,             0.32679,             0.31288,             0.15401,             0.07123,            0.072428,          0.00090754,            0.009406,            0.009406,            0.009406
                  11,            0.071242,            0.090627,           0.0018667,             0.48801,             0.34382,             0.32643,             0.17642,            0.069054,            0.072205,          0.00094154,             0.00934,             0.00934,             0.00934
                  12,            0.069676,            0.091089,           0.0016749,             0.46716,             0.35976,             0.33762,             0.17421,            0.067251,            0.074817,          0.00094147,            0.009274,            0.009274,            0.009274
                  13,             0.06823,            0.092729,           0.0015691,             0.44652,             0.37313,             0.32692,             0.16513,             0.06854,             0.07338,          0.00076306,            0.009208,            0.009208,            0.009208
                  14,            0.068885,            0.091001,            0.001462,             0.47136,             0.35499,              0.3303,             0.16699,            0.068361,             0.07259,          0.00077286,            0.009142,            0.009142,            0.009142
                  15,            0.067403,            0.090142,           0.0013648,             0.47107,             0.37131,             0.35102,             0.18494,            0.067352,            0.071911,          0.00074171,            0.009076,            0.009076,            0.009076
                  16,            0.066298,            0.087539,           0.0013534,             0.44634,             0.38203,             0.33465,             0.18538,            0.064768,            0.074246,          0.00069471,             0.00901,             0.00901,             0.00901
                  17,            0.066202,            0.086363,           0.0012452,             0.46856,              0.3772,             0.35792,             0.18167,             0.06602,            0.073093,          0.00073676,            0.008944,            0.008944,            0.008944
                  18,            0.065616,             0.08952,           0.0011213,              0.4543,             0.36695,             0.36835,             0.19685,            0.064418,            0.072934,          0.00080261,            0.008878,            0.008878,            0.008878
                  19,            0.064291,             0.08686,           0.0012242,             0.46894,             0.38154,             0.35883,             0.17403,            0.067359,            0.072291,          0.00074799,            0.008812,            0.008812,            0.008812
                  20,            0.063983,            0.089324,           0.0011314,             0.46872,             0.32724,             0.34055,             0.18264,            0.066866,            0.074642,          0.00064422,            0.008746,            0.008746,            0.008746
                  21,            0.063707,            0.085299,           0.0012345,             0.43408,             0.38693,             0.36398,             0.19857,            0.063416,             0.07291,          0.00061938,             0.00868,             0.00868,             0.00868
                  22,            0.063265,            0.090875,           0.0010737,             0.48204,             0.40955,             0.39781,             0.22711,            0.063304,            0.073502,          0.00083295,            0.008614,            0.008614,            0.008614
                  23,            0.062819,            0.088807,           0.0011611,              0.4875,               0.392,              0.3979,             0.22597,             0.06165,            0.073421,          0.00073344,            0.008548,            0.008548,            0.008548
                  24,             0.06199,            0.084986,           0.0011258,             0.43096,             0.42802,             0.37949,              0.2178,            0.061454,            0.073452,          0.00067474,            0.008482,            0.008482,            0.008482
                  25,             0.06045,            0.088535,           0.0010012,             0.50871,             0.40925,             0.41117,             0.23634,            0.060412,            0.069443,          0.00065228,            0.008416,            0.008416,            0.008416
                  26,            0.060529,            0.087481,          0.00096808,             0.45467,             0.44924,             0.40664,             0.22841,            0.061965,            0.070344,          0.00057797,             0.00835,             0.00835,             0.00835
                  27,            0.061163,            0.087282,          0.00097516,             0.42204,             0.42551,              0.3668,             0.20809,            0.059729,             0.07413,          0.00052343,            0.008284,            0.008284,            0.008284
                  28,            0.060419,            0.087618,          0.00097944,             0.51731,             0.40249,             0.41534,             0.24202,            0.059396,             0.07168,          0.00057131,            0.008218,            0.008218,            0.008218
                  29,            0.058935,             0.08737,          0.00096378,             0.46964,             0.45445,             0.42628,             0.25213,             0.05928,            0.070466,          0.00052088,            0.008152,            0.008152,            0.008152
                  30,            0.059186,            0.087673,          0.00084949,             0.47536,             0.46186,             0.42673,             0.25431,            0.057545,            0.070738,          0.00058036,            0.008086,            0.008086,            0.008086
                  31,            0.058846,              0.0886,          0.00092908,             0.44171,             0.44666,             0.41619,             0.25068,            0.059222,            0.072291,          0.00047538,             0.00802,             0.00802,             0.00802
                  32,            0.058289,             0.08834,          0.00092914,              0.4587,             0.41508,             0.39659,             0.23597,            0.057841,              0.0722,          0.00048829,            0.007954,            0.007954,            0.007954
                  33,            0.058747,            0.089185,          0.00088046,             0.48327,             0.40837,             0.40768,             0.24612,            0.058496,            0.074101,          0.00048003,            0.007888,            0.007888,            0.007888
                  34,            0.057453,            0.086312,          0.00089867,             0.53044,             0.42442,             0.43538,             0.26932,            0.057689,            0.069553,          0.00057726,            0.007822,            0.007822,            0.007822
                  35,            0.057076,            0.085603,          0.00081446,             0.50114,             0.44656,             0.44767,             0.27578,             0.05727,            0.068527,          0.00057661,            0.007756,            0.007756,            0.007756
                  36,            0.057155,             0.08897,          0.00075666,             0.51452,             0.44668,             0.45106,             0.27966,            0.057097,            0.069162,          0.00049143,             0.00769,             0.00769,             0.00769
                  37,            0.056788,            0.087474,          0.00078227,             0.50439,             0.44875,             0.44594,             0.27702,            0.056511,            0.068966,          0.00046452,            0.007624,            0.007624,            0.007624
                  38,            0.056034,            0.085972,          0.00071158,             0.48471,             0.42316,             0.41083,             0.24575,            0.056861,            0.072592,          0.00045275,            0.007558,            0.007558,            0.007558
                  39,            0.056561,            0.085271,          0.00089032,             0.41863,             0.44453,             0.40943,             0.24857,            0.056861,            0.072321,          0.00045058,            0.007492,            0.007492,            0.007492
                  40,            0.056909,             0.08404,          0.00081643,             0.52289,             0.44715,             0.44853,             0.26045,            0.057559,            0.069885,          0.00043344,            0.007426,            0.007426,            0.007426
                  41,            0.056631,            0.085858,          0.00066627,             0.50761,             0.46022,              0.4353,             0.26692,             0.05569,            0.071375,          0.00039001,             0.00736,             0.00736,             0.00736
                  42,            0.055454,            0.084403,          0.00074287,             0.56422,             0.41267,             0.44454,             0.26607,            0.055409,            0.069141,          0.00043947,            0.007294,            0.007294,            0.007294
                  43,            0.055404,            0.085789,          0.00071514,             0.51903,              0.4117,             0.43505,              0.2709,            0.055346,            0.071851,          0.00040076,            0.007228,            0.007228,            0.007228
                  44,            0.054636,            0.081501,          0.00082536,             0.56156,             0.42952,             0.45679,             0.28261,            0.054274,            0.070057,          0.00039968,            0.007162,            0.007162,            0.007162
                  45,            0.055008,            0.085928,           0.0006586,             0.47953,             0.46125,             0.45197,             0.27654,            0.054756,            0.068854,          0.00042013,            0.007096,            0.007096,            0.007096
                  46,              0.0548,            0.082397,          0.00070906,             0.53924,             0.44468,             0.45878,             0.28302,            0.054428,            0.070782,          0.00037633,             0.00703,             0.00703,             0.00703
                  47,            0.052891,            0.079874,          0.00066548,             0.52298,             0.48846,             0.46211,             0.28066,            0.054676,            0.069118,          0.00035309,            0.006964,            0.006964,            0.006964
                  48,            0.054468,            0.085526,          0.00066871,             0.51965,             0.48196,             0.48432,             0.29929,            0.053723,            0.068849,          0.00038363,            0.006898,            0.006898,            0.006898
                  49,            0.052969,             0.08506,          0.00078111,             0.47107,             0.48472,              0.4335,             0.27736,            0.054577,              0.0714,           0.0003732,            0.006832,            0.006832,            0.006832
                  50,            0.052845,            0.085308,          0.00063167,             0.49806,             0.47476,             0.43487,              0.2679,            0.053372,            0.069792,          0.00033589,            0.006766,            0.006766,            0.006766
                  51,            0.052605,            0.086592,          0.00054488,             0.60256,             0.41101,             0.44414,             0.27083,             0.05346,            0.069344,          0.00028672,              0.0067,              0.0067,              0.0067
                  52,            0.052904,            0.086328,          0.00061659,             0.51407,             0.43813,             0.42828,              0.2706,            0.053159,            0.071179,          0.00029079,            0.006634,            0.006634,            0.006634
                  53,            0.052308,            0.085009,          0.00065728,             0.52534,             0.47102,             0.44579,             0.28921,            0.053189,            0.070791,          0.00035884,            0.006568,            0.006568,            0.006568
                  54,            0.053148,            0.082933,          0.00060628,             0.53824,             0.48039,              0.4588,             0.29503,            0.053677,            0.069047,          0.00030884,            0.006502,            0.006502,            0.006502
                  55,            0.052051,            0.086066,          0.00058114,             0.51018,             0.49416,              0.4601,             0.29946,            0.052561,            0.069145,          0.00030762,            0.006436,            0.006436,            0.006436
                  56,             0.05178,            0.080388,          0.00064699,             0.56923,             0.43932,             0.45349,             0.27923,             0.05228,            0.072308,          0.00029833,             0.00637,             0.00637,             0.00637
                  57,            0.050603,            0.085467,          0.00059229,             0.57081,             0.46179,              0.4521,             0.27369,            0.052186,            0.070075,          0.00029888,            0.006304,            0.006304,            0.006304
                  58,            0.051714,            0.083738,          0.00061223,             0.51124,             0.43509,             0.42282,             0.25642,            0.053668,            0.072451,          0.00031315,            0.006238,            0.006238,            0.006238
                  59,            0.051507,            0.081758,          0.00059655,             0.51081,             0.46878,             0.44455,             0.29003,            0.052254,            0.069432,          0.00027799,            0.006172,            0.006172,            0.006172
                  60,            0.050779,            0.080651,          0.00053151,             0.52959,             0.49373,             0.46726,             0.29414,            0.050763,            0.068786,          0.00029617,            0.006106,            0.006106,            0.006106
                  61,            0.051499,            0.079463,             0.00058,             0.47184,             0.41045,             0.40313,             0.24476,            0.053875,            0.074559,          0.00030019,             0.00604,             0.00604,             0.00604
                  62,            0.050151,            0.079903,          0.00058719,             0.44095,             0.45741,             0.40918,             0.25867,            0.052644,            0.073785,           0.0002889,            0.005974,            0.005974,            0.005974
                  63,            0.050768,            0.080202,          0.00050537,              0.4628,              0.4838,             0.44052,             0.27391,            0.050565,            0.070766,          0.00029005,            0.005908,            0.005908,            0.005908
                  64,            0.050162,            0.081945,          0.00052705,             0.55409,             0.38479,              0.4217,              0.2725,            0.051286,            0.073352,          0.00025721,            0.005842,            0.005842,            0.005842
                  65,             0.05025,            0.079174,          0.00048976,             0.48072,             0.42198,             0.41849,             0.26506,            0.052439,            0.072718,          0.00024272,            0.005776,            0.005776,            0.005776
                  66,            0.049804,            0.078589,          0.00045764,             0.47237,             0.44289,             0.40802,             0.26166,            0.053218,            0.075473,          0.00025957,             0.00571,             0.00571,             0.00571
                  67,            0.050581,            0.083938,           0.0005168,             0.49214,             0.45168,             0.44229,             0.27293,            0.051928,            0.070735,          0.00024279,            0.005644,            0.005644,            0.005644
                  68,            0.050154,            0.077631,          0.00049322,             0.44693,             0.48453,             0.40439,             0.26115,            0.051718,            0.074827,          0.00026766,            0.005578,            0.005578,            0.005578
                  69,            0.049708,            0.081521,          0.00053964,             0.44704,             0.42261,             0.41403,             0.26156,            0.051134,             0.07372,          0.00026747,            0.005512,            0.005512,            0.005512
                  70,            0.048465,            0.079548,           0.0006399,             0.45073,             0.47201,             0.41374,             0.26221,             0.05139,            0.076172,          0.00027865,            0.005446,            0.005446,            0.005446
                  71,            0.048786,            0.080006,          0.00063749,             0.43518,             0.45537,             0.39643,             0.24386,            0.051469,            0.076838,          0.00026816,             0.00538,             0.00538,             0.00538
                  72,            0.049646,            0.079361,           0.0004884,             0.47474,             0.44878,             0.40399,             0.25354,             0.05268,            0.076369,          0.00030147,            0.005314,            0.005314,            0.005314
                  73,            0.049263,            0.082936,          0.00048442,             0.47968,             0.43338,              0.4183,             0.26513,            0.050621,            0.074752,          0.00027641,            0.005248,            0.005248,            0.005248
                  74,            0.048766,            0.080815,          0.00038624,             0.50605,             0.45057,             0.42785,             0.27854,            0.051664,            0.073425,          0.00023061,            0.005182,            0.005182,            0.005182
                  75,            0.047667,            0.076624,          0.00044553,             0.48633,             0.45559,             0.42987,             0.27334,            0.051097,            0.076196,          0.00019772,            0.005116,            0.005116,            0.005116
                  76,            0.047664,            0.077373,          0.00051167,             0.49818,              0.4506,             0.43879,             0.28161,            0.049969,            0.074551,            0.000217,             0.00505,             0.00505,             0.00505
                  77,            0.048218,            0.078829,          0.00052274,              0.5582,             0.42773,             0.43116,             0.27827,            0.049534,            0.075598,          0.00025763,            0.004984,            0.004984,            0.004984
                  78,            0.047789,            0.078962,          0.00045249,              0.4989,             0.40539,             0.38392,              0.2407,            0.052119,            0.078277,          0.00025025,            0.004918,            0.004918,            0.004918
                  79,            0.047188,            0.078278,          0.00039328,             0.49476,             0.40668,             0.41037,             0.26541,            0.051615,            0.077162,          0.00025196,            0.004852,            0.004852,            0.004852
                  80,            0.048211,             0.07923,          0.00041506,             0.50999,             0.45103,              0.4453,             0.28789,            0.049683,             0.07289,          0.00020165,            0.004786,            0.004786,            0.004786
                  81,            0.047471,            0.079412,          0.00042489,                0.48,             0.45971,             0.43355,             0.28392,            0.049598,            0.075539,          0.00023288,             0.00472,             0.00472,             0.00472
                  82,            0.046219,            0.075761,          0.00048318,             0.51182,             0.42846,             0.42546,             0.26973,            0.051988,            0.075345,          0.00024686,            0.004654,            0.004654,            0.004654
                  83,            0.047128,            0.078281,          0.00034751,             0.52094,             0.44634,             0.42241,             0.27266,            0.051823,            0.075773,          0.00028619,            0.004588,            0.004588,            0.004588
                  84,            0.046083,            0.074612,          0.00035758,             0.43169,             0.43428,             0.39064,             0.25486,            0.052905,            0.078438,           0.0002893,            0.004522,            0.004522,            0.004522
                  85,            0.046387,            0.076447,          0.00042889,              0.5511,             0.41567,             0.43002,             0.27143,            0.050955,            0.076981,          0.00027101,            0.004456,            0.004456,            0.004456
                  86,            0.046182,             0.07871,          0.00036335,             0.45409,             0.43563,             0.39814,             0.25659,            0.051404,            0.077969,          0.00022197,             0.00439,             0.00439,             0.00439
                  87,            0.046949,            0.077611,          0.00037262,             0.44541,             0.46245,             0.40354,               0.255,            0.050593,            0.078819,          0.00019529,            0.004324,            0.004324,            0.004324
                  88,            0.046233,            0.075648,          0.00038124,             0.48894,             0.45478,             0.41327,              0.2618,            0.050968,            0.077668,          0.00025068,            0.004258,            0.004258,            0.004258
                  89,            0.046064,            0.076588,          0.00040682,              0.5263,             0.45704,             0.43608,             0.28038,            0.051376,            0.076467,            0.000294,            0.004192,            0.004192,            0.004192
                  90,            0.045448,            0.074385,          0.00040706,             0.54894,             0.40205,             0.42091,             0.26882,            0.051849,            0.076716,          0.00019508,            0.004126,            0.004126,            0.004126
                  91,            0.045455,            0.075894,          0.00032164,             0.43348,             0.41742,             0.37082,             0.22839,            0.053123,            0.081739,          0.00034605,             0.00406,             0.00406,             0.00406
                  92,             0.04601,            0.074674,           0.0003363,             0.45107,             0.40777,             0.36756,              0.2297,            0.053039,            0.078476,          0.00025904,            0.003994,            0.003994,            0.003994
                  93,            0.046348,             0.07617,          0.00036309,             0.46466,             0.41711,             0.38565,             0.23884,            0.051697,            0.079474,           0.0002194,            0.003928,            0.003928,            0.003928
                  94,            0.046059,            0.078478,          0.00030079,             0.49279,             0.39629,             0.38064,             0.24047,            0.052445,            0.079281,          0.00021366,            0.003862,            0.003862,            0.003862
                  95,            0.046191,            0.074145,           0.0003951,              0.4395,             0.47504,             0.40342,             0.25691,            0.049141,            0.079232,          0.00019037,            0.003796,            0.003796,            0.003796
                  96,            0.045275,            0.077615,          0.00032285,             0.41808,             0.45622,             0.38295,             0.24527,             0.05083,            0.079168,          0.00017431,             0.00373,             0.00373,             0.00373
                  97,              0.0447,            0.075017,          0.00029297,             0.46083,             0.44538,             0.41107,             0.25875,            0.049624,            0.078822,          0.00022058,            0.003664,            0.003664,            0.003664
                  98,            0.044656,            0.077522,          0.00037668,             0.44676,              0.4505,             0.40605,             0.25383,            0.050338,            0.077903,          0.00024434,            0.003598,            0.003598,            0.003598
                  99,            0.043781,            0.073518,          0.00030523,             0.46135,             0.45423,             0.38894,             0.24802,            0.050528,            0.079467,          0.00021951,            0.003532,            0.003532,            0.003532
                 100,            0.045145,            0.076799,          0.00036064,             0.46889,             0.43123,             0.40511,             0.26027,            0.051025,            0.080686,          0.00033135,            0.003466,            0.003466,            0.003466
                 101,            0.043951,            0.072773,          0.00032366,             0.50734,             0.41285,             0.41639,               0.266,            0.049214,            0.079103,          0.00020422,              0.0034,              0.0034,              0.0034
                 102,            0.044533,            0.077023,          0.00035934,             0.44537,             0.47457,             0.40898,             0.25369,            0.049237,            0.081644,           0.0002275,            0.003334,            0.003334,            0.003334
                 103,            0.043022,            0.072182,          0.00029994,             0.45792,             0.42275,             0.40398,             0.26222,            0.049808,            0.081127,          0.00022518,            0.003268,            0.003268,            0.003268
                 104,            0.043048,            0.073139,          0.00030566,             0.46443,             0.42887,             0.39026,             0.25877,            0.051101,            0.079935,          0.00028493,            0.003202,            0.003202,            0.003202
                 105,            0.043275,            0.071984,          0.00036269,             0.48087,             0.43264,             0.40598,             0.27181,            0.050664,            0.079583,          0.00025905,            0.003136,            0.003136,            0.003136
                 106,            0.043761,            0.073849,          0.00036881,             0.44086,             0.44971,             0.38541,             0.24924,            0.051372,            0.083021,          0.00019802,             0.00307,             0.00307,             0.00307
                 107,            0.043377,            0.073095,          0.00031312,             0.50662,             0.42641,             0.42126,             0.27168,             0.05068,            0.079919,           0.0001683,            0.003004,            0.003004,            0.003004
                 108,            0.044328,            0.073223,          0.00026492,             0.51476,             0.42987,             0.41465,             0.27192,              0.0506,            0.081694,          0.00022863,            0.002938,            0.002938,            0.002938
                 109,            0.042538,            0.072862,          0.00026526,             0.52415,             0.43753,             0.42105,             0.27783,            0.050213,            0.080062,          0.00028093,            0.002872,            0.002872,            0.002872
                 110,            0.042613,            0.071608,           0.0003212,             0.49579,             0.40855,             0.39583,             0.25803,            0.050876,            0.084071,          0.00026973,            0.002806,            0.002806,            0.002806
                 111,            0.042675,            0.075225,          0.00026618,             0.42693,             0.45722,             0.38768,             0.25238,            0.049666,            0.083312,          0.00024616,             0.00274,             0.00274,             0.00274
                 112,            0.042345,            0.072169,          0.00024113,             0.43985,             0.42024,             0.36848,             0.23333,            0.051187,            0.086494,           0.0002357,            0.002674,            0.002674,            0.002674
                 113,             0.04251,            0.071803,          0.00026741,             0.47052,             0.44801,             0.40064,             0.24939,            0.049864,            0.084273,          0.00020183,            0.002608,            0.002608,            0.002608
                 114,            0.042794,             0.07249,          0.00024151,              0.4669,             0.40823,              0.3958,                0.25,             0.05098,            0.085012,          0.00031916,            0.002542,            0.002542,            0.002542
                 115,            0.042057,             0.07395,          0.00028919,             0.44579,             0.41606,              0.3897,               0.251,             0.05126,            0.084629,          0.00031016,            0.002476,            0.002476,            0.002476
                 116,             0.04183,            0.071257,           0.0002406,              0.4167,             0.47013,              0.3902,             0.24699,            0.050694,            0.084404,           0.0002551,             0.00241,             0.00241,             0.00241
                 117,            0.041335,            0.071083,          0.00025136,             0.47733,             0.44921,             0.41293,             0.27304,            0.049868,            0.082595,          0.00021521,            0.002344,            0.002344,            0.002344
                 118,            0.042434,             0.07275,          0.00024679,             0.50393,             0.42158,             0.41754,             0.28245,            0.049567,            0.082453,          0.00022787,            0.002278,            0.002278,            0.002278
                 119,            0.042016,            0.071222,          0.00029217,             0.44913,             0.43555,             0.39164,             0.25245,            0.050973,            0.086045,          0.00024243,            0.002212,            0.002212,            0.002212
                 120,             0.04173,            0.073846,          0.00025964,             0.46919,             0.44793,             0.40377,             0.26534,            0.050549,             0.08414,          0.00025342,            0.002146,            0.002146,            0.002146
                 121,            0.041943,            0.071995,           0.0002024,             0.49598,             0.38484,             0.38028,             0.24507,            0.050615,            0.086432,           0.0002292,             0.00208,             0.00208,             0.00208
                 122,             0.04233,            0.069134,          0.00027434,              0.5011,             0.39307,             0.40233,             0.26301,            0.049423,            0.085286,           0.0002332,            0.002014,            0.002014,            0.002014
                 123,            0.041316,            0.069484,          0.00025108,             0.52732,              0.4158,             0.42706,             0.27264,            0.047972,            0.080555,          0.00011865,            0.001948,            0.001948,            0.001948
                 124,            0.040691,             0.06826,           0.0002173,             0.43468,             0.46425,             0.39109,             0.24849,            0.048792,            0.083425,          0.00014665,            0.001882,            0.001882,            0.001882
                 125,            0.041086,            0.070456,          0.00024341,             0.43579,             0.43676,             0.39231,             0.25218,            0.049312,            0.085636,          0.00018388,            0.001816,            0.001816,            0.001816
                 126,            0.040236,            0.069931,          0.00025074,              0.3996,             0.48465,              0.3766,             0.24228,            0.049863,            0.088385,          0.00019608,             0.00175,             0.00175,             0.00175
                 127,            0.040846,            0.068862,          0.00027144,             0.50145,             0.41163,             0.41282,             0.27428,             0.04858,            0.082989,          0.00015525,            0.001684,            0.001684,            0.001684
                 128,            0.041084,            0.069667,          0.00022172,             0.43134,             0.44849,             0.38326,             0.25381,            0.049778,            0.086439,          0.00018914,            0.001618,            0.001618,            0.001618
                 129,             0.04046,            0.066686,          0.00022196,             0.42513,             0.45851,             0.40313,             0.26072,              0.0495,            0.085791,          0.00018945,            0.001552,            0.001552,            0.001552
                 130,            0.039253,            0.068612,          0.00021164,             0.41343,             0.44438,             0.38654,             0.24129,            0.050868,            0.088731,          0.00027083,            0.001486,            0.001486,            0.001486
                 131,            0.041017,            0.071178,          0.00023641,               0.435,             0.41766,             0.36967,             0.23322,            0.050729,            0.090028,          0.00026343,             0.00142,             0.00142,             0.00142
                 132,            0.041638,            0.069463,            0.000272,             0.43657,             0.41875,             0.36352,             0.22505,            0.051208,            0.088488,          0.00025437,            0.001354,            0.001354,            0.001354
                 133,            0.040525,             0.06823,          0.00025665,             0.45823,             0.45891,             0.39296,             0.25359,            0.050149,            0.085055,          0.00024265,            0.001288,            0.001288,            0.001288
                 134,            0.039481,            0.067774,          0.00021536,             0.41962,             0.46348,             0.37269,             0.23484,            0.050646,            0.088728,          0.00024957,            0.001222,            0.001222,            0.001222
                 135,            0.039457,            0.070071,           0.0002791,             0.42541,             0.43899,             0.37707,             0.24628,            0.050345,            0.086765,          0.00023199,            0.001156,            0.001156,            0.001156
                 136,            0.039631,            0.066229,          0.00018905,             0.41403,             0.42744,             0.36522,             0.23265,            0.050119,            0.087834,          0.00017469,             0.00109,             0.00109,             0.00109
                 137,            0.038531,            0.065645,          0.00024837,             0.39279,              0.4522,             0.36142,             0.23414,            0.050883,            0.089104,          0.00024555,            0.001024,            0.001024,            0.001024
                 138,            0.038776,            0.065071,          0.00020599,             0.40878,             0.45649,             0.36792,             0.23461,            0.050877,            0.090489,          0.00022852,            0.000958,            0.000958,            0.000958
                 139,            0.039283,            0.066215,          0.00017963,             0.43287,             0.40326,             0.36367,             0.22888,             0.05061,            0.090078,          0.00021272,            0.000892,            0.000892,            0.000892
                 140,             0.03925,            0.067244,           0.0002105,             0.43121,             0.45126,              0.3903,             0.25413,            0.050422,            0.087142,          0.00027117,            0.000826,            0.000826,            0.000826
                 141,            0.038188,            0.066504,          0.00023322,             0.41084,             0.43295,             0.36422,             0.23226,            0.050863,            0.090563,          0.00029416,             0.00076,             0.00076,             0.00076
                 142,            0.039033,            0.065552,          0.00020905,             0.43097,             0.41495,             0.35285,             0.22462,            0.050845,            0.091066,          0.00022627,            0.000694,            0.000694,            0.000694
                 143,            0.038862,            0.064598,          0.00015562,             0.42312,             0.43574,             0.36465,             0.23569,            0.051345,            0.090444,          0.00023532,            0.000628,            0.000628,            0.000628
                 144,            0.038676,            0.066698,          0.00022058,             0.45672,             0.43068,             0.37345,             0.24095,            0.050268,            0.090178,           0.0001837,            0.000562,            0.000562,            0.000562
                 145,            0.038636,            0.065834,          0.00021093,             0.41418,             0.45654,             0.35732,             0.22944,            0.050719,            0.092981,           0.0002202,            0.000496,            0.000496,            0.000496
                 146,             0.03765,            0.066201,          0.00018042,             0.38966,             0.46134,             0.35182,             0.22804,             0.05052,            0.092511,          0.00023088,             0.00043,             0.00043,             0.00043
                 147,            0.039221,             0.06461,          0.00020538,             0.41417,             0.44489,             0.36739,              0.2433,            0.050361,            0.090307,          0.00025554,            0.000364,            0.000364,            0.000364
                 148,            0.038362,            0.066374,          0.00019305,             0.39786,              0.4462,             0.36111,             0.23524,            0.050461,             0.09121,          0.00024129,            0.000298,            0.000298,            0.000298
